review_id,k,scale,fragility_score,fragility_class,fragility_frac_sig,fragility_top_dim,bias_n_detect,bias_concordance,bias_class,bias_egger_p,bias_tf_k0,pred_pi_ci_ratio,pred_discordance,pred_I2,pred_tau2,orb_score,orb_class,orb_excess_sig,repro_class,repro_oa_coverage,repro_rate_strict,overlap_max_jaccard,overlap_max_shared,composite_score,d1_fragility_norm,d2_bias_norm,d3_prediction_norm,d4_orb_norm,d5_repro_norm,d6_overlap_norm,grade
CD006023,18,ratio,71.93,Moderate,0.7192982456140351,Bias Correction,1,100,Confirmed,0.1216,0,3.06,CONCORDANT_SIG,49.5,0.2555,10.0,Low_Risk,-1.93,no_extraction,0.12345679012345678,0.0,0.0108,2,69.7,71.9,87.5,58.8,90.0,12.3,97.8,B
CD006027,4,ratio,36.19,Unstable,0.3619047619047619,Bias Correction,0,0,unknown,1.0,0,4.15,FALSE_REASSURANCE,71.2,0.3776,15.0,Low_Risk,0.83,no_extraction,0.0,0.0,0,0,59.7,36.2,100.0,37.0,85.0,0.0,100,C
CD006124,6,ratio,76.19,Moderate,0.06802721088435375,Leave-One-Out,0,100,Suspected,0.1566,0,3.35,CONCORDANT_NS,80.4,0.4487,60.0,High_Risk,2.83,no_extraction,0.0,0.0,0,0,61.5,76.2,100.0,53.0,40.0,0.0,100,B
CD006140,8,ratio,39.68,Unstable,0.3968253968253968,Bias Correction,1,100,Confirmed,0.0545,0,2.93,FALSE_REASSURANCE,85.4,0.0204,60.0,High_Risk,0.61,no_extraction,0.0,0.0,0.0164,1,54.2,39.7,87.5,61.4,40.0,0.0,96.7,C
CD006182,4,ratio,60.32,Fragile,0.6031746031746031,Bias Correction,0,0,unknown,1.0,0,2.2,CONCORDANT_SIG,0.0,0.0,0.0,Low_Risk,0.61,no_extraction,0.25,0.0,0,0,76.9,60.3,100.0,76.0,100.0,25.0,100,B
CD006185,78,ratio,70.46,Moderate,0.7046413502109705,Bias Correction,1,100,Clean,0.4735,0,4.65,FALSE_REASSURANCE,28.7,0.1663,0.0,Low_Risk,-0.2,no_extraction,0.20300751879699247,0.0,0.017,4,67.0,70.5,87.5,27.0,100.0,20.3,96.6,B
CD006257,9,ratio,89.05,Moderate,0.023809523809523808,Leave-One-Out,0,100,Suspected,0.9925,1,1.93,CONCORDANT_NS,22.6,0.0216,20.0,Low_Risk,-0.56,no_extraction,0.02702702702702703,0.0,0.0077,1,75.3,89.0,100.0,81.4,80.0,2.7,98.5,B
CD006404,112,ratio,65.05,Fragile,0.3494872875403849,Bias Correction,1,100,Confirmed,0.0897,8,4.8,CONCORDANT_NS,27.5,0.0422,50.0,High_Risk,5.59,insufficient,0.2857142857142857,0.03125,0.0204,1,58.5,65.0,87.5,24.0,50.0,28.6,95.9,C
CD006475,27,ratio,60.09,Fragile,0.6009070294784581,Bias Correction,0,100,Suspected,0.3371,0,2.98,FALSE_REASSURANCE,32.4,0.0271,50.0,High_Risk,2.48,no_extraction,0.07407407407407407,0.0,0.0196,1,62.3,60.1,100.0,60.4,50.0,7.4,96.1,B
CD006515,5,ratio,72.22,Moderate,0.05555555555555555,Bias Correction,0,50,Discordant,0.5179,1,1.62,CONCORDANT_NS,0.0,0.0,0.0,Low_Risk,-0.21,no_extraction,0.0,0.0,0,0,76.6,72.2,100.0,87.6,100.0,0.0,100,B
CD006536,43,ratio,98.48,Robust,0.015151515151515152,Leave-One-Out,0,100,Suspected,0.3092,3,1.03,CONCORDANT_NS,0.0,0.0,0.0,Low_Risk,-0.48,no_extraction,0.0,0.0,0.0241,2,82.2,98.5,100.0,99.4,100.0,0.0,95.2,A
CD006606,4,ratio,64.44,Fragile,0.08888888888888889,Bias Correction,0,0,unknown,1.0,0,4.39,CONCORDANT_NS,89.1,0.9385,40.0,Moderate_Risk,0.9,no_extraction,0.25,0.0,0,0,63.6,64.4,100.0,32.2,60.0,25.0,100,B
CD006632,23,difference,76.39,Moderate,0.7638888888888888,Bias Correction,1,100,Confirmed,0.074,0,3.29,FALSE_REASSURANCE,62.5,0.4923,75.0,High_Risk,5.13,no_extraction,0.0,0.0,0.0217,1,56.5,76.4,87.5,54.2,25.0,0.0,95.7,C
CD006689,5,ratio,16.14,Unstable,0.16137566137566137,CI Method,0,100,Suspected,0.2752,1,1.62,FALSE_REASSURANCE,0.0,0.0,0.0,Low_Risk,0.21,no_extraction,0.3333333333333333,0.0,0,0,72.8,16.1,100.0,87.6,100.0,33.3,100,B
CD006712,3,difference,72.22,Moderate,0.027777777777777776,Leave-One-Out,0,0,unknown,1.0,0,6.48,CONCORDANT_NS,0.0,0.0,0.0,Low_Risk,-0.37,no_extraction,0.0,0.0,0.0233,1,61.3,72.2,100.0,0,100.0,0.0,95.3,B
CD006714,3,ratio,66.67,Fragile,0.0,Leave-One-Out,0,0,unknown,1.0,0,6.48,CONCORDANT_NS,0.0,0.0,20.0,Low_Risk,-0.08,no_extraction,0.0,0.0,0,0,57.8,66.7,100.0,0,80.0,0.0,100,C
CD006742,4,ratio,86.67,Moderate,0.0,Leave-One-Out,0,0,unknown,1.0,0,2.2,CONCORDANT_NS,0.0,0.0,10.0,Low_Risk,-0.31,no_extraction,0.0,0.0,0.05,1,73.8,86.7,100.0,76.0,90.0,0.0,90.0,B
